###########################
####VAPID Localisation####
####V1, Baby!!!        ####
###########################
#;;;;;;;;;;;;;;x
GetArmourName_A;[This.GetArmourName_OneWord_Prefix][This.GetArmourName_OneWord_Suffix];;;;;;;;;;;;;x
GetArmourName_C;[This.GetArmourName_OneWord];;;;;;;;;;;;;x
GetArmourName_OneWord_A;[This.GetArmourName_TwoWord_Suffix];;;;;;;;;;;;;x
GetArmourName_OneWord_B;[This.GetArmourName_OneWord_Special];;;;;;;;;;;;;x
GetDynamicHornName;Dragon Horn from [This.GetFirstNameWithNick];;;;;;;;;;;;;x
rename_valyrian_artifact;Rename Valyrian Artifacts;;;;;;;;;;;;;x
rename_valyrian_artifact_desc;Rename a Valyrian artifact owned by [Root.GetTitledFirstNameWithDynasty].;;;;;;;;;;;;;x
rename_valyrian_artifact_named;Rename a Valyrian artifact owned by [Root.GetTitledFirstNameWithDynasty].;;;;;;;;;;;;;x
EVTOPT_change_sword_VAPID.15;Yes, I think I like the name [target_dummy_name.GetFullName].;;;;;;;;;;;;;x
EVTOPT_change_armour_VAPID.15;Yes, I think I like the name [target_dummy_name.GetFullName].;;;;;;;;;;;;;x
EVTOPT_change_horn_VAPID.15;Yes, I think I like the name [target_dummy_name.GetHornName].;;;;;;;;;;;;;x
TOOLTIPvapidCHANGE.15;[target_valyrian_artifact.GetTOOLTIPvapidCHANGE_15];;;;;;;;;;;;;x
TOOLTIPvapidCHANGE.15_armour;§Y[target_valyrian_artifact.GetFullName]§! will be renamed to §Y[target_dummy_name.GetFullName]§!;;;;;;;;;;;;;x
TOOLTIPvapidCHANGE.15_horn;§Y[target_valyrian_artifact.GetFullName]§! will be renamed to §Y[target_dummy_name.GetHornName]§!;;;;;;;;;;;;;x
EVTOPT_reload_VAPID.15;Generate a new name.;;;;;;;;;;;;;x
TOOLTIPvapidRELOAD.15;A new name will be generated for §Y[target_valyrian_artifact.GetFullName]§!;;;;;;;;;;;;;x
EVTOPT_cancel_VAPID.15;I guess I'll stick with [target_valyrian_artifact.GetFullName].;;;;;;;;;;;;;x
EVTDESC_armour_VAPID.15;Rename the armour [target_valyrian_artifact.GetFullName] worn by [From.GetTitledFirstNameWithDynasty] to [target_dummy_name.GetFullName]?;;;;;;;;;;;;;x
